post_tax_coef,scenario,draw
0.0010735050355156653,1,43
-0.00037849612197127393,2,43
0.003160769198074672,1,44
0.0008429049202500448,2,44
0.0009081935589883537,1,45
-0.00038158372479025777,2,45
0.00287308595945075,1,46
0.0008498999216102164,2,46
0.0012522571680973244,1,47
-0.0003237833490210473,2,47
0.0011161351414148092,1,48
0.0007734754838742099,2,48
0.003562437641699062,1,49
0.0005879724717744931,2,49
0.006420312061512099,1,50
0.0026570248492405984,2,50
0.00261726825639076,1,51
0.0005885597597637889,2,51
0.0019896438899954494,1,52
0.00035247338127178006,2,52
0.003229716270869888,1,53
0.001151566809807615,2,53
0.006122402168457486,1,54
0.0020936066090816003,2,54
0.0022231396907264785,1,55
0.0008945054806699714,2,55
0.00016529370016517096,1,56
-0.000380046529030463,2,56
-0.0002687090907169028,1,57
-0.00014427461526921598,2,57
0.0034025994237636085,1,58
0.0008048688333872987,2,58
-0.000436525726063903,1,59
-0.0009722893284238483,2,59
0.003436077643755864,1,60
0.0012807327984699576,2,60
0.0025783843208270355,1,61
0.000888982691785311,2,61
-0.0001457037127662009,1,62
-0.0005661639401849307,2,62
-0.0010297593625222079,1,63
-0.0011845799182910997,2,63
0.009547822246105994,1,64
0.003952945153542244,2,64
0.0005216163214508804,1,65
-0.00013283001211335867,2,65
0.002403377782244576,1,66
0.00013621483838055086,2,66
-0.0014367828467556911,1,67
-0.0008852935299055409,2,67
0.0020715182964643917,1,68
0.00045257416215410283,2,68
-0.0008792508634710961,1,69
-0.0009788842307040762,2,69
0.003084378723290041,1,70
0.0003328015117934535,2,70
0.004950282494407452,1,71
0.0015748233498823609,2,71
0.001817053097745183,1,72
0.00026487527182679916,2,72
0.0055731354544447985,1,73
0.0022187915830162853,2,73
0.003864732785145258,1,74
0.001403744888028021,2,74
0.0026031247147303626,1,75
0.0008718124310603402,2,75
0.002874467471588043,1,76
0.0005842126025813603,2,76
0.004189626307189541,1,77
0.0014717231754830474,2,77
-0.0008856323979209671,1,78
-0.0011036438038363743,2,78
0.003584059535860558,1,79
0.0009614209025029538,2,79
0.0013847845579058396,1,80
0.00011992262573623044,2,80
0.0015979924328567764,1,81
0.00019895326724002658,2,81
0.0026266381732745593,1,82
0.0007158390366694175,2,82
0.006205544704670211,1,83
0.0022606392400645933,2,83
0.0027280065301778633,1,84
0.0011187377522289565,2,84
0.003430754682850275,1,85
0.0012711229861049281,2,85
0.0008227147527013444,1,86
-0.00011613727526515235,2,86
0.004135488503012712,1,87
0.001330297459618903,2,87
0.007003646574815799,1,88
0.0027251836982779944,2,88
0.003603939745367191,1,89
0.0012521136414469485,2,89
0.0027263831558131907,1,90
0.00045161990517331326,2,90
0.0032406691177427455,1,91
0.0009979452346138681,2,91
0.005705192100805719,1,92
0.0016705518816635002,2,92
5.6560111443671505e-05,1,93
-0.0003049614220314951,2,93
-0.0009922644345350359,1,94
-0.001131181561998697,2,94
-0.0006663903334003679,1,95
-0.0006803205534097918,2,95
0.0026757572649053884,1,96
0.0001302853536640167,2,96
0.0070500491965666805,1,97
0.0027114726879195585,2,97
0.004127325691341601,1,98
0.0016561230137155623,2,98
0.0025085526756544736,1,99
0.0007747442448545417,2,99
0.005210886973096327,1,100
0.001815568373044574,2,100
0.0014002732156031116,1,101
0.0004600475650565329,2,101
0.002673116927425375,1,102
0.0012258054330549872,2,102
0.0010211922517166122,1,103
0.00029655180252266165,2,103
0.0036329933933919546,1,104
0.001017322002800905,2,104
0.0008155122147669955,1,105
-9.226423712370261e-05,2,105
0.00042714627790846295,1,106
-0.0008525786911296874,2,106
0.005097913949268983,1,107
0.002007923291128021,2,107
0.0038451703214570274,1,108
0.0010224138702471953,2,108
0.005717075103815645,1,109
0.002048303670100864,2,109
0.006948050367293452,1,110
0.0024697402279967354,2,110
0.000865406172648533,1,111
-0.00037634047770611877,2,111
-0.0004911375347729616,1,112
-0.0005988641256226986,2,112
0.0017036426279257028,1,113
0.00017087371323982084,2,113
-0.0011992991982415747,1,114
