post_coef,scenario,draw
2.718382162364987e-10,2,161
2.718382229589095e-10,1,162
2.7183822466186926e-10,2,162
2.718382219306115e-10,1,163
2.718382112063274e-10,2,163
2.7183821136726364e-10,1,164
2.718382129266513e-10,2,164
2.7183822427646927e-10,1,165
2.718382139426673e-10,2,165
2.7183822350228116e-10,1,166
2.718382133814021e-10,2,166
2.7183822638600483e-10,1,167
2.7183822215253416e-10,2,167
2.7183821241927856e-10,1,168
2.718382222313082e-10,2,168
2.7183823406859366e-10,1,169
2.718382221258526e-10,2,169
2.718382256787323e-10,1,170
2.7183822157146955e-10,2,170
2.718382082882989e-10,1,171
2.7183821252664e-10,2,171
2.7183822186454295e-10,1,172
2.71838224745302e-10,2,172
2.718382231482214e-10,1,173
2.71838213021519e-10,2,173
2.7183821769714085e-10,1,174
2.7183821441912335e-10,2,174
2.7183822389488093e-10,1,175
2.7183822360879555e-10,2,175
2.718382182002784e-10,1,176
2.718382294107595e-10,2,176
2.718382186667289e-10,1,177
2.718382179057624e-10,2,177
2.718382234798348e-10,1,178
2.718382147341137e-10,2,178
2.7183821963007004e-10,1,179
2.71838219218015e-10,2,179
2.718381859791451e-10,1,180
2.7183822004681025e-10,2,180
2.718382208193043e-10,1,181
2.7183823008118606e-10,2,181
2.718382020880177e-10,1,182
2.7183821930904455e-10,2,182
2.7183822384914115e-10,1,183
2.718382198894739e-10,2,183
2.7183820921368237e-10,1,184
2.718382153989287e-10,2,184
2.718382122932824e-10,1,185
2.718382180781998e-10,2,185
2.718382201742887e-10,1,186
2.7183821902105335e-10,2,186
2.718382177809971e-10,1,187
2.7183821942169993e-10,2,187
2.7183821669933604e-10,1,188
2.7183822006502146e-10,2,188
2.718382152640387e-10,1,189
2.7183821900538324e-10,2,189
2.7183822677013427e-10,1,190
2.718382109791108e-10,2,190
2.7183822236852756e-10,1,191
2.7183821057613487e-10,2,191
2.718382228086009e-10,1,192
2.718382277490926e-10,2,192
2.7183821829556963e-10,1,193
2.7183821480240576e-10,2,193
2.7183821285295943e-10,1,194
2.718382225665215e-10,2,194
2.718382275904857e-10,1,195
2.718382112529142e-10,2,195
2.7183821833187293e-10,1,196
2.7183821563503914e-10,2,196
2.7183821045500915e-10,1,197
2.7183821629530133e-10,2,197
2.718382378823595e-10,1,198
2.718382108001751e-10,2,198
2.718382309489713e-10,1,199
2.718382153953288e-10,2,199
2.718381872048018e-10,1,200
2.718382246652574e-10,2,200
2.7183820346783437e-10,1,201
2.718382214550025e-10,2,201
2.718382082764404e-10,1,202
2.7183820105887267e-10,2,202
2.7183821317991415e-10,1,203
2.718382169250703e-10,2,203
2.7183821793303953e-10,1,204
2.7183822265313063e-10,2,204
2.718382476753309e-10,1,205
2.7183821793854524e-10,2,205
2.718382257964699e-10,1,206
2.7183821622520935e-10,2,206
2.718382235543737e-10,1,207
2.718382083192156e-10,2,207
2.7183821619026924e-10,1,208
2.7183821982128773e-10,2,208
2.7183822303471897e-10,1,209
2.7183821713522714e-10,2,209
2.71838222817455e-10,1,210
2.7183822124557363e-10,2,210
2.718382009877219e-10,1,211
2.718382134244949e-10,2,211
2.7183822095228847e-10,1,212
2.718382087018627e-10,2,212
2.7183821420863566e-10,1,213
2.718382154414392e-10,2,213
2.718382334629651e-10,1,214
2.7183821950132103e-10,2,214
2.718382212724669e-10,1,215
2.7183822274672777e-10,2,215
2.7183821517753547e-10,1,216
2.718382155698176e-10,2,216
2.718382269382703e-10,1,217
2.718382201706888e-10,2,217
2.7183822152234164e-10,1,218
2.7183821782509577e-10,2,218
2.7183822437387806e-10,1,219
2.7183822102026286e-10,2,219
2.7183821844507095e-10,1,220
2.7183823266251897e-10,2,220
2.7183823890684585e-10,1,221
2.718382275193349e-10,2,221
2.718382138393293e-10,1,222
2.718382325953916e-10,2,222
2.7183822617805824e-10,1,223
2.7183821660002143e-10,2,223
2.718382284697059e-10,1,224
2.718382162742314e-10,2,224
2.71838226030251e-10,1,225
2.718382158607734e-10,2,225
2.7183822789118237e-10,1,226
2.718382106701555e-10,2,226
2.718382129291924e-10,1,227
2.718382126052023e-10,2,227
2.7183821202794934e-10,1,228
2.718382107137777e-10,2,228
2.7183821590990134e-10,1,229
2.718382127161636e-10,2,229
2.718382150840442e-10,1,230
2.7183821991255553e-10,2,230
2.7183820359065415e-10,1,231
2.718382206990256e-10,2,231
2.7183822220166207e-10,1,232
2.7183822417609587e-10,2,232
2.718382194360995e-10,1,233
2.7183821806263557e-10,2,233
2.718382161504587e-10,1,234
2.71838214756666e-10,2,234
2.718382250332932e-10,1,235
2.7183821454744884e-10,2,235
2.718382138888807e-10,1,236
2.7183820977304175e-10,2,236
2.7183821554821827e-10,1,237
2.7183822137675786e-10,2,237
2.718382160267919e-10,1,238
2.7183822955179047e-10,2,238
2.718382190735694e-10,1,239
2.7183821815628565e-10,2,239
2.7183822388005785e-10,1,240
2.7183822521561705e-10,2,240
2.7183821688483626e-10,1,241
2.7183821803891865e-10,2,241
2.718382296894333e-10,1,242
2.7183821412350885e-10,2,242
2.7183819375490757e-10,1,243
2.7183823033571946e-10,2,243
2.7183821870511006e-10,1,244
2.718382134864342e-10,2,244
2.718382254186932e-10,1,245
2.7183821688229516e-10,2,245
2.718382104167868e-10,1,246
2.718382152845263e-10,2,246
2.718382231952317e-10,1,247
