term,coef,scenario,run
post_g1,-0.027383664092749685,2,57
post_g2,-0.021249167524704446,2,57
post_g3,0.010484433313629438,2,57
post_g4,-0.03681866576599832,2,57
post_g5,0.1990885594400894,2,57
post_g6,-0.12353043027785192,2,57
post_g1,-0.01881157515968359,1,58
post_g2,-0.022236246336551326,1,58
post_g3,0.013324819521787937,1,58
post_g4,-0.03511015179594243,1,58
post_g5,0.18526024249759726,1,58
post_g6,-0.11930842368613592,1,58
post_g1,-0.023199365781287718,2,58
post_g2,-0.020462296537845287,2,58
post_g3,0.010072474136242494,2,58
post_g4,-0.0319122385844471,2,58
post_g5,0.18246786496970613,2,58
post_g6,-0.11641058816481185,2,58
post_g1,-0.02092220339425476,1,59
post_g2,-0.01895562463986543,1,59
post_g3,0.007924121609668773,1,59
post_g4,-0.03416734532852794,1,59
post_g5,0.1884751042475926,1,59
post_g6,-0.1193657381312515,1,59
post_g1,-0.02765138790480241,2,59
post_g2,-0.02046768501054931,2,59
post_g3,0.011296355295426011,2,59
post_g4,-0.03310697455095437,2,59
post_g5,0.1884968450029315,2,59
post_g6,-0.11798662992052669,2,59
post_g1,-0.019406858426106552,1,60
post_g2,-0.020236027380729306,1,60
post_g3,0.011361792721927333,1,60
post_g4,-0.03485650166340924,1,60
post_g5,0.18165386355044966,1,60
post_g6,-0.11536414636466302,1,60
post_g1,-0.02843352613945032,2,60
post_g2,-0.02159300808947151,2,60
post_g3,0.0067780217988989274,2,60
post_g4,-0.03303876041158604,2,60
post_g5,0.19415625517708202,2,60
post_g6,-0.11730557216502042,2,60
post_g1,-0.014265070007482556,1,61
post_g2,-0.02207051382167688,1,61
post_g3,0.010483700478665946,1,61
post_g4,-0.03588407259232507,1,61
post_g5,0.18737608683978174,1,61
post_g6,-0.12260369054702629,1,61
post_g1,-0.02852396837522448,2,61
post_g2,-0.020031959795627656,2,61
post_g3,0.018782078918611066,2,61
post_g4,-0.03252987076749518,2,61
post_g5,0.19002214133615192,2,61
post_g6,-0.12720856617048013,2,61
post_g1,-0.022247490009537255,1,62
post_g2,-0.015787442444776107,1,62
post_g3,0.010390101515153048,1,62
post_g4,-0.03330071196017092,1,62
post_g5,0.18774025761797486,1,62
post_g6,-0.12382235183490173,1,62
post_g1,-0.01706871797517986,2,62
post_g2,-0.026349779023323486,2,62
post_g3,0.01287114802177888,2,62
post_g4,-0.03391055403308807,2,62
post_g5,0.18529700653863002,2,62
post_g6,-0.12030213866663864,2,62
post_g1,-0.019716060096136336,1,63
post_g2,-0.01953609144087881,1,63
post_g3,0.008002967931897385,1,63
post_g4,-0.031334160735751675,1,63
