term,coef,scenario,draw
post_g4,0.019052534854802877,2,14
post_g5,0.0007454551570666096,2,14
post_g6,-0.01953354760174443,2,14
post_g1,-0.008937375660946477,1,15
post_g2,-0.003570595126791573,1,15
post_g3,-0.00864170123692174,1,15
post_g4,0.023514310058993813,1,15
post_g5,0.011425441277059925,1,15
post_g6,0.017383578969541937,1,15
post_g1,-0.009554244663539596,2,15
post_g2,0.006086044928701207,2,15
post_g3,-0.004172633587446345,2,15
post_g4,0.02358455403888737,2,15
post_g5,0.011737847824628205,2,15
post_g6,-0.021711176759872764,2,15
post_g1,-0.011582362637660515,1,16
post_g2,-0.01211999072456103,1,16
post_g3,-0.0023543817604688637,1,16
post_g4,0.023957083753444994,1,16
post_g5,0.003512601250880572,1,16
post_g6,0.02862243376839055,1,16
post_g1,-0.012132329604172518,2,16
post_g2,-0.0017502708610360675,2,16
post_g3,0.00259346661771203,2,16
post_g4,0.024010279817794827,2,16
post_g5,0.003938433195653058,2,16
post_g6,-0.010884289843452584,2,16
post_g1,-0.004820095567829622,1,17
post_g2,-0.009062217016859232,1,17
post_g3,-0.006096409664327245,1,17
post_g4,0.02325627219253719,1,17
post_g5,0.012744163938055417,1,17
post_g6,0.012843918177540091,1,17
post_g1,-0.007357237163565541,2,17
post_g2,-0.0009680969771176202,2,17
post_g3,-0.0023157237812261823,2,17
post_g4,0.023038487794321983,2,17
post_g5,0.013592192356374176,2,17
post_g6,-0.020444725318945735,2,17
post_g1,-0.00541941845397477,1,18
post_g2,-0.001771779194314699,1,18
post_g3,-0.004364154988835718,1,18
post_g4,0.024207430660190772,1,18
post_g5,0.004555303275227941,1,18
post_g6,0.004249791704258968,1,18
post_g1,-0.004605816705253271,2,18
post_g2,0.007393915947490193,2,18
post_g3,-0.001629142962892596,2,18
post_g4,0.024449694996663687,2,18
post_g5,0.005646296744324901,2,18
post_g6,-0.02710967071746693,2,18
post_g1,-0.0017650880957382738,1,19
post_g2,-0.00550903426174975,1,19
post_g3,0.004070127990090291,1,19
post_g4,0.03358547578528122,1,19
post_g5,-0.0006327859162430188,1,19
