post_coef,scenario,run
2.718382478244087e-10,1,327
2.7183822866452345e-10,2,327
2.7183819826620504e-10,1,328
2.718381805056182e-10,2,328
2.718382297148443e-10,1,329
2.718382083357327e-10,2,329
2.718382179919083e-10,1,330
2.7183819320433615e-10,2,330
2.718381918558597e-10,1,331
2.7183825983872405e-10,2,331
2.718382279665683e-10,1,332
2.718382487544509e-10,2,332
2.7183823676215843e-10,1,333
2.718382187915074e-10,2,333
2.7183822319607875e-10,1,334
2.7183828303387427e-10,2,334
2.718382136822047e-10,1,335
2.71838225567771e-10,2,335
2.7183823058220605e-10,1,336
2.718382317333238e-10,2,336
2.7183823512230264e-10,1,337
2.7183826541220084e-10,2,337
2.718382561016147e-10,1,338
2.718382278869472e-10,2,338
2.7183825656409467e-10,1,339
2.7183821707711274e-10,2,339
2.7183822543224573e-10,1,340
2.718382359693356e-10,2,340
2.718382230334484e-10,1,341
2.7183821925229334e-10,2,341
2.7183822211865284e-10,1,342
2.7183823383142443e-10,2,342
2.718382325676513e-10,1,343
2.718381833177676e-10,2,343
2.718382154541976e-10,1,344
2.7183820855257316e-10,2,344
2.7183822836636786e-10,1,345
2.718382181613149e-10,2,345
2.7183822360265456e-10,1,346
2.718381851202537e-10,2,346
2.7183820914888435e-10,1,347
2.7183819565988467e-10,2,347
2.718382145106029e-10,1,348
2.7183822183404977e-10,2,348
2.7183821206648934e-10,1,349
2.7183821101235683e-10,2,349
2.718382285188338e-10,1,350
2.718382338686939e-10,2,350
2.7183824096344185e-10,1,351
2.718382260260158e-10,2,351
2.7183820842382415e-10,1,352
2.7183820757001494e-10,2,352
2.7183822316050336e-10,1,353
2.7183821608777825e-10,2,353
2.7183823260830886e-10,1,354
2.7183818519818073e-10,2,354
2.718382377311641e-10,1,355
2.718381813052173e-10,2,355
2.7183819864906394e-10,1,356
2.718382624441974e-10,2,356
2.7183821934038477e-10,1,357
2.718382076919877e-10,2,357
2.7183821842220106e-10,1,358
2.7183822042458694e-10,2,358
2.718382194420287e-10,1,359
2.718381990539457e-10,2,359
2.7183821956400147e-10,1,360
2.7183823842911927e-10,2,360
2.7183822059399353e-10,1,361
2.718382703453207e-10,2,361
2.71838248962821e-10,1,362
2.71838218344274e-10,2,362
2.718381883796365e-10,1,363
2.7183820061079224e-10,2,363
2.7183819423263415e-10,1,364
2.7183821783605426e-10,2,364
2.7183821451229697e-10,1,365
2.718382252458985e-10,2,365
2.718382194623575e-10,1,366
2.7183820622831475e-10,2,366
2.7183823573216637e-10,1,367
2.7183823592190175e-10,2,367
2.718382142581871e-10,1,368
2.7183821055495904e-10,2,368
2.7183822704499646e-10,1,369
2.718381980290358e-10,2,369
2.718382205956876e-10,1,370
2.7183824143100404e-10,2,370
2.718382519691527e-10,1,371
2.71838228806825e-10,2,371
2.7183826215281806e-10,1,372
2.718382049204959e-10,2,372
2.71838197879111e-10,1,373
2.718382431420106e-10,2,373
2.71838217341387e-10,1,374
2.7183823899154915e-10,2,374
2.718382269026949e-10,1,375
2.7183820107835443e-10,2,375
2.718382355221022e-10,1,376
2.718382367147246e-10,2,376
2.718382229995671e-10,1,377
2.718382513582302e-10,2,377
2.718382459372193e-10,1,378
2.718381959792161e-10,2,378
2.7183825045021086e-10,1,379
2.718381526551749e-10,2,379
2.7183824295566334e-10,1,380
2.718381736209344e-10,2,380
2.7183823308942357e-10,1,381
2.7183819485435633e-10,2,381
2.718382417926871e-10,1,382
2.7183821585060903e-10,2,382
2.7183818862358197e-10,1,383
2.718381910325437e-10,2,383
2.7183824715694676e-10,1,384
2.7183820605890816e-10,2,384
2.71838217932616e-10,1,385
2.71838222328717e-10,2,385
2.7183824379592e-10,1,386
2.7183823119206977e-10,2,386
2.718382126522126e-10,1,387
2.718382103686118e-10,2,387
2.718381943698535e-10,1,388
2.718381888582101e-10,2,388
2.7183824035019e-10,1,389
2.7183822346035303e-10,2,389
2.718382041649425e-10,1,390
2.718382280817648e-10,2,390
2.718382184188129e-10,1,391
2.718382448335354e-10,2,391
2.7183819160513795e-10,1,392
2.718382356847325e-10,2,392
2.718381964704952e-10,1,393
2.718382557941417e-10,2,393
2.718382051373363e-10,1,394
2.7183823132759504e-10,2,394
2.718382312259511e-10,1,395
2.7183819774443275e-10,2,395
2.718382200586687e-10,1,396
2.7183821006367993e-10,2,396
2.718382073125169e-10,1,397
2.7183817601295545e-10,2,397
2.7183823620989295e-10,1,398
2.718382704469647e-10,2,398
2.7183821656592835e-10,1,399
2.7183820230485814e-10,2,399
2.7183824392466903e-10,1,400
2.7183825495981427e-10,2,400
2.718382322694957e-10,1,401
2.718382261776347e-10,2,401
2.7183825377058e-10,1,402
2.7183821580995145e-10,2,402
2.718382365114367e-10,1,403
2.7183822695690503e-10,2,403
2.718382329877796e-10,1,404
2.7183820391760887e-10,2,404
2.718382464793204e-10,1,405
2.718381910969182e-10,2,405
2.71838215001882e-10,1,406
2.7183821638593385e-10,2,406
2.7183818945028613e-10,1,407
2.7183820442921677e-10,2,407
2.718381911104707e-10,1,408
2.7183821489515586e-10,2,408
2.718382454052826e-10,1,409
2.7183823243890227e-10,2,409
2.718382109445942e-10,1,410
2.7183820386339876e-10,2,410
2.7183821873052105e-10,1,411
2.7183821428529214e-10,2,411
2.7183824946765264e-10,1,412
2.7183820820020745e-10,2,412
2.718382380936942e-10,1,413
2.7183822892879773e-10,2,413
2.7183822659776306e-10,1,414
2.718382356508512e-10,2,414
2.7183819335341395e-10,1,415
2.71838211157623e-10,2,415
2.7183818217257905e-10,1,416
2.718381982526525e-10,2,416
2.718382479158883e-10,1,417
2.7183818748178156e-10,2,417
2.718382253441543e-10,1,418
2.718382115409054e-10,2,418
2.718382261725525e-10,1,419
2.7183820976044214e-10,2,419
2.7183822281321986e-10,1,420
2.718382110733432e-10,2,420
2.718382298846744e-10,1,421
2.71838197364962e-10,2,421
2.718382410515333e-10,1,422
2.7183820500181104e-10,2,422
2.7183822736348085e-10,1,423
2.718382298402052e-10,2,423
2.7183824209507787e-10,1,424
2.718382385917496e-10,2,424
2.7183819588773653e-10,1,425
2.7183814466596014e-10,2,425
2.7183823067029747e-10,1,426
2.718382077877024e-10,2,426
2.718382250121174e-10,1,427
2.7183820597081673e-10,2,427
2.7183823192390624e-10,1,428
2.7183823233048205e-10,2,428
2.718382271466404e-10,1,429
2.718381920252663e-10,2,429
2.7183823716873425e-10,1,430
2.718382051779939e-10,2,430
2.718382667064672e-10,1,431
2.7183827039953083e-10,2,431
2.718382377718217e-10,1,432
2.7183825512583273e-10,2,432
2.7183817791030926e-10,1,433
2.718382484105555e-10,2,433
2.718382097723006e-10,1,434
2.7183821733461075e-10,2,434
2.7183823153088295e-10,1,435
2.718382227556216e-10,2,435
2.718382192048595e-10,1,436
2.7183822181033285e-10,2,436
2.7183822565586243e-10,1,437
2.7183821404134665e-10,2,437
2.718382257456479e-10,1,438
2.7183823315040994e-10,2,438
2.7183819989081424e-10,1,439
2.718381860689306e-10,2,439
2.71838231557988e-10,1,440
2.7183818505249107e-10,2,440
2.718382073633389e-10,1,441
2.7183819223533046e-10,2,441
2.718381883050976e-10,1,442
2.7183821964531663e-10,2,442
2.71838214885415e-10,1,443
2.718381711882558e-10,2,443
2.7183821763276635e-10,1,444
2.718382397538788e-10,2,444
2.7183817956032944e-10,1,445
2.7183820066500235e-10,2,445
2.71838195128795e-10,1,446
2.7183824443966506e-10,2,446
2.718382080477415e-10,1,447
2.718382267942747e-10,2,447
2.7183820705840704e-10,1,448
2.718381813594274e-10,2,448
2.7183823238469216e-10,1,449
2.718381965551985e-10,2,449
2.718381946273515e-10,1,450
2.7183822144780274e-10,2,450
2.718382093894417e-10,1,451
