post_tax_coef,scenario,run
6.828047450797053e-06,2,65
-4.6701966439541474e-06,1,66
-0.002650714869804216,2,66
-0.0012202915848347842,1,67
0.0010502274228033678,2,67
0.0005487192907806986,1,68
-0.0002212211356642825,2,68
-0.0027222229927830292,1,69
-0.0008945245063391471,2,69
-0.001583982707283083,1,70
0.0012062921018667979,2,70
-0.0022381042987199484,1,71
-0.001199728421288545,2,71
-2.8979879292543258e-05,1,72
-0.00010778725622056349,2,72
-0.0021722263021330965,1,73
-0.0003918126558595344,2,73
0.0016949194464077797,1,74
-0.0018728037148989236,2,74
8.99925278193285e-05,1,75
0.000499578179548803,2,75
6.014093013082263e-05,1,76
-0.0008982484221776887,2,76
0.0003186634119895816,1,77
-0.003891703651679687,2,77
-0.00023545556107872122,1,78
-0.0009821080289307436,2,78
-0.0016525150083539285,1,79
0.00010888489741850456,2,79
-0.0013094090056249208,1,80
0.0011127553433265959,2,80
-0.000488653601697929,1,81
0.0001401198030037742,2,81
-0.0009949584853591491,1,82
0.000982333696445436,2,82
-0.0003961497497554968,1,83
-0.0003448855038267786,2,83
0.0006919599397286451,1,84
-0.001388953443579091,2,84
-4.854379207866569e-05,1,85
-0.001157297361973315,2,85
-0.00024586865012948296,1,86
-0.0005212222929308951,2,86
0.0007155788431997077,1,87
-0.0019067505875166864,2,87
0.0005052788080717925,1,88
-0.002535914027908084,2,88
-0.0024997278286135313,1,89
0.0003331979046322287,2,89
-0.002417761923721037,1,90
0.0005091712867080941,2,90
-0.0025362288177997903,1,91
-0.00024942819731815855,2,91
-0.000636755495571341,1,92
-0.0012333020577868416,2,92
-0.002285098174687434,1,93
-0.0009722258613932423,2,93
-9.341747461060927e-05,1,94
0.001127639041773332,2,94
-0.0005848667784439143,1,95
-0.0011166097702452716,2,95
-0.0018312978207570465,1,96
-0.001925680706899878,2,96
0.0014694082467307152,1,97
0.0002601840902089326,2,97
-0.00016210257561896229,1,98
-0.000694402609714955,2,98
-0.0015589207468929968,1,99
0.0004530230742179855,2,99
0.00032159616007715666,1,100
-0.0015871057146364888,2,100
-0.0012674533115937803,1,101
0.0011177692017864584,2,101
-0.002526356570185806,1,102
-0.00034052970740912944,2,102
-0.0016435500964930149,1,103
0.00037272468578176607,2,103
-0.001383513104917894,1,104
-0.0008183479392217113,2,104
0.0001280435176566034,1,105
-5.212780506859771e-05,2,105
-0.00016742381284105248,1,106
0.0007632737451246149,2,106
-0.00025435199050339544,1,107
-0.0006894304395177993,2,107
0.0001829535398403233,1,108
-0.0012493057168560442,2,108
0.0004077138554582861,1,109
-0.0002441504686319726,2,109
-0.0015136581429162589,1,110
-0.0013595111977931745,2,110
-0.00028573521200288385,1,111
-0.001030719609319005,2,111
-0.00026157164760159365,1,112
-0.00034394440487762253,2,112
-0.002913090938014271,1,113
0.00038671213366786984,2,113
-0.001735942572053648,1,114
0.0002214946580946095,2,114
-0.001684096690456919,1,115
-0.0014278198257498347,2,115
-0.000912425272192619,1,116
-0.0006148711946856418,2,116
-0.0021114742200057024,1,117
0.0011990935704020702,2,117
0.0015658412967689344,1,118
1.3593951920910732e-05,2,118
0.0012330373654085274,1,119
0.0015238516478393075,2,119
-0.0012701852540366423,1,120
-0.00029693761238738456,2,120
0.00022943074336941364,1,121
-0.0004157061439799154,2,121
-0.0021630298144776246,1,122
-0.0018262771861260298,2,122
-0.0011129563461878195,1,123
-0.0015510518681043396,2,123
0.0018180852766694108,1,124
0.002037301120241716,2,124
0.0005304698428621538,1,125
0.00043949688675176376,2,125
-0.00021658739625913658,1,126
